gate,layer,target,id,group,status,reason,notes
M1_ACCEPTANCE,formal_gate,overall,m1_acceptance,M1 acceptance,ACCEPTED,ONE_LEVEL_RACE_GENDER_PROVEN,"M1 one-level race+gender social-choice core ACCEPTED: under the predeclared acceptance policy (acceptance_mode=TRUE, time_limit=120, mip_gap=0) both selected solves PROVE OPTIMAL (mipgap=0) at the published distributions (race 2/81/14, gender 1/3/89/4) and every registered one-level grade/frontier/membership/report-card target PASSes with producer_status OK; confirms the controlled time_limit=300 diagnostic. EXPLICITLY OUT OF SCOPE / deferred: within-industry share (two-level variance decomposition, t3b_race_withinshare), names (M1_NAMES), and industry/two-level report cards (M2)."
K01,registered_target,scale_n_firms_graded,scale_n_firms_graded,Design,PASS,,97-firm design count is bundled in krw_firms and checked through gp_check().
K01,registered_target,race_n_industries,race_n_industries,Design,PASS,,19 industry groupings are bundled in krw_firms and checked through gp_check().
K02,registered_target,race_beta,t3_race_ni_beta,Precision,PASS,,"Race beta-GMM parity is covered by gp_check('t3_race_ni_beta', gp_w_seam(...)) and test-beta-parity.R."
K02-K04,registered_target,within_share,t3b_race_withinshare,Precision,DEFERRED,TWO_LEVEL_WITHIN_SHARE,"Within-industry variance share is a TWO-LEVEL decomposition (within vs between industry) that the one-level M1 pipeline cannot compute; deferred to the two-level/industry milestone (M2), like the other industry rows. Re-classified from UNVERIFIED."
K03-K04,component_evidence,w_posterior_golden,GP-W-EXACT,Posterior/Prior,EVIDENCE_OK,,"test-w-seam-golden.R pins W recomputation to the ebrecipe oracle exactly on the 97-firm race input; this is component evidence, not a registered acceptance PASS."
K05-K07,diagnostic_evidence,pairwise_pi_golden,Pi_groupfx0,Pairwise,EVIDENCE_OK,,"test-pairwise.R checks structural Pi invariants and strong archive correlation; pairwise Pi has no paper_values row and is diagnostic evidence, not a registered acceptance PASS."
SOLVER,diagnostic_evidence,race_n97_controlled,race_n97_controlled_selected,Solver fixtures,EVIDENCE_OK,,A controlled diagnostic with time_limit=300 and mip_gap=0.001 returned an optimal native race selected solve with published distribution 1:2;2:81;3:14. This diagnostic evidence is recorded separately from registered target promotion.
SOLVER,diagnostic_evidence,gender_deconv_source_truth,gender_deconv_source_truth,Solver fixtures,EVIDENCE_OK,,"A diagnostic showed that gender deconvolution succeeds on the KRW Matlab GMM source input and fails only on bundled krw_firms, which is not the M1 GMM source-truth input."
K08,registered_target,race_grade_count,race_baseline_ngrades,Grades,PASS,,"Selected solve PROVES OPTIMAL (mipgap=0, runtime ~46s) under the predeclared acceptance policy (acceptance_mode=TRUE, time_limit=120, mip_gap=0); 3-grade distribution 2/81/14 at lambda=0.25, producer_status OK."
K08,target_pending_registry,race_grade_distribution,race_baseline_distribution,Grades,PASS,PROVEN_OPTIMAL,"Proven-optimal incumbent is 2/81/14, matching the published distribution (same proven solve as race_baseline_ngrades; no separate registry tolerance row)."
K08,registered_target,gender_grade_count,gender_baseline_ngrades,Grades,PASS,,"Selected solve PROVES OPTIMAL (mipgap=0, runtime 24.6s) under the predeclared acceptance policy (acceptance_mode=TRUE, time_limit=120, mip_gap=0); 4-grade distribution 1/3/89/4 at lambda=0.25, producer_status OK."
NAMES,deferred_milestone,names_pipeline,names_ngrades_l025,Names,DEFERRED,M1_NAMES_SCOPE,Names targets remain in gp_registry under milestone M1_NAMES. Current M1 acceptance excludes names until the names-specific NPMLE/ranking pipeline is bundled and tested.
K09,registered_target,race_worst_count,race_baseline_worst_n,Membership,PASS,,"From the proven-optimal race fit, worst-grade count = 2 (matches K09), producer_status OK."
K09,registered_target,race_best_count,race_baseline_best_n,Membership,PASS,,"From the proven-optimal race fit, best-grade count = 14 (matches K09), producer_status OK."
K12-K13,registered_target,race_frontier,race_baseline_dr,Frontier,PASS,,"From the proven-optimal race fit, DR = 3.869% (within tol of the 3.90% target), tau-bar 0.207; producer_status OK."
K12-K13,registered_target,race_frontier_r2,race_baseline_r2,Frontier,PASS,,The gp_krw_r2() port of KRW rsquared.do verifies 24.597221 percent against the registered 25 percent target; generic gp_r2() is not used for this row.
K12-K13,registered_target,race_between_sd,race_baseline_betweengrade_sd,Frontier,PASS,,The gp_krw_r2() port verifies the KRW between-grade SD 0.0339818 against the registered 0.034 target.
K12-K13,registered_target,gender_frontier_r2,gender_baseline_r2,Frontier,PASS,,The gp_krw_r2() port of KRW rsquared.do verifies 43.717786 percent against the registered 44 percent target; generic gp_r2() is not used for this row.
K14-K15,registered_target,f5_genuineparts_theta,f5_genuineparts_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Genuine Parts theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_genuineparts_postmean_baseline,f5_genuineparts_postmean_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Genuine Parts baseline posterior mean race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_autonation_theta,f5_autonation_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 AutoNation theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_disney_theta,f5_disney_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Disney theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_walmart_theta,f5_walmart_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Walmart theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_charterspectrum_theta,f5_charterspectrum_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Charter/Spectrum theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_charterspectrum_condrank_baseline,f5_charterspectrum_condrank_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Charter/Spectrum baseline Condorcet rank race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_buildersfirstsource_theta,f6_buildersfirstsource_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Builders FirstSource theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_buildersfirstsource_postmean_baseline,f6_buildersfirstsource_postmean_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Builders FirstSource baseline posterior mean gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_lkq_theta,f6_lkq_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 LKQ Auto theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_nationwide_theta,f6_nationwide_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Nationwide theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_ascena_theta,f6_ascena_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Ascena theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_ascena_condrank_baseline,f6_ascena_condrank_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Ascena baseline Condorcet rank gender cell through m1-report-card-targets.csv.
K14-K15,deferred_milestone,report_card_cells_f5_f6_industry,f5_f6_industry_report_card_cells,Report card,DEFERRED,M2_INDUSTRY_SCOPE,Three Table F5/F6 industry cells are registered under milestone M2 because they require the two-level/industry report-card pipeline.
N9,registered_target,strict_order,n9_strict4_ngrades,Solver fixtures,PASS,,Strict n=4 fixture exact count is covered by test-n9-strict-order.R and gp_check().
SOLVER,component_evidence,path_equivalence,step45_strict3,Solver fixtures,EVIDENCE_OK,,"test-solver-path-equivalence.R verifies installed solver paths on the strict n=3 fixture; this is component evidence, not a registered acceptance PASS."
SOLVER,component_evidence,diagonal_invariance,step45_diagonal,Solver fixtures,EVIDENCE_OK,,"test-solver-diagonal-invariance.R verifies diagonal projection and solve invariance; this is component evidence, not a registered acceptance PASS."
K12-K13,registered_target,race_frontier_tau,race_baseline_tau,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): tau-bar 0.207 (within tol of the 0.21 target), producer_status OK."
K12-K13,registered_target,gender_frontier_dr,gender_baseline_dr,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): gender DR 1.807% (within tol of the 1.80% target), producer_status OK."
K12-K13,registered_target,gender_frontier_tau,gender_baseline_tau,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): gender tau-bar 0.121 (within tol of the 0.12 target), producer_status OK."
K12-K13,registered_target,race_frontier_tau_l1,race_baseline_tau_l1,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): lambda=1 endpoint tau-bar 0.464 (within tol of the 0.46 target), producer_status OK."
K12-K13,registered_target,race_frontier_dr_l1,race_baseline_dr_l1,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): lambda=1 endpoint DR 0.268 in proportion units (within tol of the 0.27 target), producer_status OK."
