id,exhibit,quantity,paper_value,unit,tolerance,paper_locator,likely_artifact,source_status,confidence,notes
scale_n_firms_graded,Abstract,Number of US employers graded (estimation sample),97,count,0,"Abstract: ""grade the race and gender contact gaps of 97 US employers""",tables/reporting_statistics.txt,confirmed_main_text,high,Final sample after excluding 11 firms
scale_n_firms_frame,Section I,Firms in disclosed sampling frame,108,count,0,"Sec I: ""1,000 job applications to each of 108 firms""",tables/reporting_statistics.txt,confirmed_main_text,high,Frame before dropping 11 unreliable firms
scale_apps_per_firm_cap,Section I,Max applications sent per firm,1000,count,0,"Sec I: ""up to 1,000 job applications""",unknown,confirmed_main_text,high,Design cap
scale_jobs_per_firm,Section I,Entry-level vacancies sampled per employer,125,count,0,"Sec I: ""125 entry-level job vacancies""",unknown,confirmed_main_text,high,Design target
scale_n_waves,Section I,Number of sampling waves,5,count,0,"Sec I: ""a series of five waves""",unknown,confirmed_main_text,high,Oct 2019-Apr 2021
scale_jobs_per_wave,Section I,Target jobs per firm per wave,25,count,0,"Sec I: ""target of 25 jobs""",unknown,confirmed_main_text,high,Design target
scale_firms_all_waves,Section I,Firms sampled in all waves,72,count,0,"Sec I: ""majority of firms (72)""",unknown,confirmed_main_text,high,Rest missed waves (COVID)
scale_pairs_per_job,Section I,Application pairs per job,4,count,0,"Sec I: ""four pairs of applications""",unknown,confirmed_main_text,high,Each pair Black+White
scale_apps_per_job_max,Section I,Max applications per job,8,count,0,"Sec I: ""fewer than 8 total applications""",unknown,confirmed_main_text,high,4 pairs x 2
scale_apps_total_frame,Section I,Total applications (full frame; approx),84000,count,1000,"Sec I: ""roughly 84,000 applications""",tables/reporting_statistics.txt,confirmed_main_text,high,Approximate; NOT 83643
scale_jobs_total_frame,Section I,Total jobs (full frame; approx),11000,count,1000,"Sec I: ""11,000 jobs at 108 firms""",tables/reporting_statistics.txt,confirmed_main_text,high,Approximate
scale_contact_window,Section I,Contact window (days),30,count,0,"Sec I: ""within 30 days""",unknown,confirmed_main_text,high,Outcome definition
scale_bm_names_per_group,Section I,Bertrand-Mullainathan names per group,9,count,0,"Sec I: ""nine unique names for each ... group""",unknown,confirmed_main_text,high,Source set
scale_nc_names_per_group,Section I,Added NC-ticket names per group,10,count,0,"Sec I: ""ten additional names per group""",unknown,confirmed_main_text,high,
scale_race_threshold,Section I,Race-distinctiveness threshold,90,percent,1,"Sec I: ""more than 90 percent""",unknown,confirmed_main_text,high,Name selection rule
scale_lastname_minfreq,Section I,Minimum national frequency for last names,10000,count,0,"Sec I: ""at least 10,000 times nationally""",unknown,confirmed_main_text,high,2010 Census surnames
scale_n_names,Section IV,Total first names ranked,76,count,0,"Sec IV: ""utilized 76 first names""",dump/npmle_supp_names.csv,confirmed_main_text,high,19 per group
scale_names_per_group,Table 1,First names per race x sex group,19,count,0,Table 1 col (3) each cell,tables/table1.csv,confirmed_main_text,high,76/4
scale_n_groups,Section IV,Number of demographic groups G,4,count,0,"Sec IV fn7: ""G=4""",unknown,confirmed_main_text,high,Variance formula
t1_bm_contact,Table 1,Contact rate Black male names,0.233,proportion,0.001,Table 1 Male/Black col (1),tables/table1.csv,confirmed_main_text,high,SE 0.003; wave-reweighted
t1_bm_contact_se,Table 1,SE Black male contact rate,0.003,sd,0.001,Table 1 Male/Black col (1),tables/table1.csv,confirmed_main_text,high,
t1_bm_apps,Table 1,Applications Black male names,20927,count,0,Table 1 Male/Black col (2),tables/table1.csv,confirmed_main_text,high,
t1_bm_wald,Table 1,Wald heterogeneity stat Black male,12.6,other,0.1,Table 1 Male/Black col (4),tables/table1.csv,confirmed_main_text,high,chi2(18)
t1_bm_wald_p,Table 1,Wald p-value Black male,0.82,pvalue,0.01,Table 1 Male/Black col (4) brackets,tables/table1.csv,confirmed_main_text,high,
t1_wm_contact,Table 1,Contact rate White male names,0.246,proportion,0.001,Table 1 Male/White col (1),tables/table1.csv,confirmed_main_text,high,SE 0.003
t1_wm_apps,Table 1,Applications White male names,20975,count,0,Table 1 Male/White col (2),tables/table1.csv,confirmed_main_text,high,
t1_wm_wald,Table 1,Wald stat White male,15.8,other,0.1,Table 1 Male/White col (4),tables/table1.csv,confirmed_main_text,high,
t1_wm_wald_p,Table 1,Wald p-value White male,0.61,pvalue,0.01,Table 1 Male/White col (4),tables/table1.csv,confirmed_main_text,high,
t1_bf_contact,Table 1,Contact rate Black female names,0.226,proportion,0.001,Table 1 Female/Black col (1),tables/table1.csv,confirmed_main_text,high,SE 0.003; lowest cell
t1_bf_apps,Table 1,Applications Black female names,20879,count,0,Table 1 Female/Black col (2),tables/table1.csv,confirmed_main_text,high,
t1_bf_wald,Table 1,Wald stat Black female,21.2,other,0.1,Table 1 Female/Black col (4),tables/table1.csv,confirmed_main_text,high,
t1_bf_wald_p,Table 1,Wald p-value Black female,0.24,pvalue,0.01,Table 1 Female/Black col (4),tables/table1.csv,confirmed_main_text,high,Min p across cells
t1_wf_contact,Table 1,Contact rate White female names,0.254,proportion,0.001,Table 1 Female/White col (1),tables/table1.csv,confirmed_main_text,high,SE 0.003; highest cell
t1_wf_apps,Table 1,Applications White female names,20862,count,0,Table 1 Female/White col (2),tables/table1.csv,confirmed_main_text,high,
t1_wf_wald,Table 1,Wald stat White female,19.9,other,0.1,Table 1 Female/White col (4),tables/table1.csv,confirmed_main_text,high,
t1_wf_wald_p,Table 1,Wald p-value White female,0.34,pvalue,0.01,Table 1 Female/White col (4),tables/table1.csv,confirmed_main_text,high,
t1_sd_total,Table 1,Bias-corrected total SD of name contact rates,0.010,sd,0.001,Table 1 'Total' row,tables/table1.csv,confirmed_main_text,high,Variance=(0.010)^2 per fn7
t1_sd_between,Table 1,Bias-corrected between race/sex SD,0.011,sd,0.001,Table 1 'Between race/sex' row,tables/table1.csv,confirmed_main_text,high,~equals total
t1_wald_df,Table 1,Wald test degrees of freedom,18,count,0,Table 1 notes,tables/table1.csv,confirmed_main_text,high,19 names - 1
names_npmle_mass1,Section IV.A,NPMLE low mass point (contact prob),0.226,proportion,0.001,"Sec IV.A: ""mass points at p_i=0.226""",dump/npmle_supp_names.csv,confirmed_main_text,high,Probability scale
names_npmle_mass2,Section IV.A,NPMLE high mass point,0.244,proportion,0.002,"Sec IV.A: ""and p_i=0.244""",dump/npmle_supp_names.csv,confirmed_main_text,high,
names_npmle_mass3,Section IV.A,NPMLE third mass point,0.260,proportion,0.005,"Sec IV.A: ""third mass point at p_i=0.260""",dump/npmle_supp_names.csv,confirmed_main_text,high,
names_npmle_gap,Section IV.A,Gap between two main NPMLE mass points,1.8,percent,0.1,"Sec IV.A: ""1.8 percentage point gap""",dump/npmle_supp_names.csv,confirmed_main_text,high,= 0.244-0.226
names_bw_gap,Section IV.A,Black-White contact gap in experiment (names),2.1,percent,0.1,"Sec IV.A: ""contact gap ... of 2.1 percentage points""",tables/reporting_statistics.txt,confirmed_main_text,high,percentage points
names_lnN_pval,Section IV.A,p-value regression theta on ln N_i,0.17,pvalue,0.01,"Sec IV.A: ""(p=0.17)""",unknown,confirmed_main_text,high,Independence check
names_se_corr,Section IV.A,Corr of delta-method SE with (4N)^-0.5,0.98,correlation,0.01,"fn9: ""correlation = .98""",unknown,confirmed_main_text,high,VST check
names_tau_l1,Section IV.B,Expected rank corr tau-bar at lambda=1 (names),0.44,correlation,0.01,"Sec IV.B: ""approaches 0.44""",dump/ranking_names.csv,confirmed_main_text,high,Condorcet
names_dr_l1,Section IV.B,Discordance rate at lambda=1 (names),0.28,proportion,0.01,"Sec IV.B: ""discordance rate of 0.28""",dump/ranking_names.csv,confirmed_main_text,high,
names_elbow_lambda,Section IV.B,Lambda of DR elbow (names),0.18,other,0.01,"Sec IV.B: ""elbow ... around lambda=0.18""",dump/ranking_names.csv,confirmed_main_text,high,Below: 1 grade
names_ngrades_l025,Section IV.B,Number of grades at lambda=0.25 (names),2,count,0,"Sec IV.B: ""yields two grades""",dump/ranking_names.csv,confirmed_main_text,high,
names_dr_l025,Section IV.B,Discordance rate at lambda=0.25 (names),0.07,proportion,0.01,"Sec IV.B: ""reliable (DR=0.07)""",dump/ranking_names.csv,confirmed_main_text,high,2-grade solution
names_tau_l025,Section IV.B,Expected tau-bar at lambda=0.25 (names),0.29,correlation,0.01,"Sec IV.B: ""informative (tau=0.29)""",dump/ranking_names.csv,confirmed_main_text,high,2-grade solution
names_lambda_3grade,Section IV.B,Lambda giving 3 grades (names),0.41,other,0.01,"Sec IV.B: ""lambda=0.41 ... three grades""",dump/ranking_names.csv,confirmed_main_text,high,70% threshold
names_tau_3grade,Section IV.B,Expected tau-bar with 3 grades (names),0.32,correlation,0.01,"Sec IV.B: ""(to tau=0.32)""",dump/ranking_names.csv,confirmed_main_text,high,+11% vs 0.29
names_threshold_l025,Section IV.B,Posterior certainty threshold at lambda=0.25,80,percent,1,"Sec IV.B: ""less than 80 percent""",unknown,confirmed_main_text,high,1/(1+0.25)
names_ci_count,Section IV.C,Expected name CIs covering truth,72,count,0,"Sec IV.C: ""Approximately 72 ... of these 76""",dump/ranking_names.csv,confirmed_main_text,high,95% of 76
names_top38_black,Section IV.C,Distinctively Black names in top 38,8,count,0,"Sec IV.C: ""only 8 are distinctively Black""",dump/ranking_names.csv,confirmed_main_text,high,Headline
names_top38_male,Section IV.C,Distinctively male names in top 38,19,count,0,"Sec IV.C: ""19 of the top 38 ... male""",dump/ranking_names.csv,confirmed_main_text,high,Sex not recovered
names_between_grade_sd,Section IV.C,Name-weighted between-grade SD of p_i,0.006,sd,0.001,"Sec IV.C: ""between grade standard deviation ... 0.006""",dump/ranking_names.csv,confirmed_main_text,high,
names_marginal_sd,Section IV.C,Marginal SD of p_i across names,0.010,sd,0.001,"Sec IV.C: ""roughly 0.010""",dump/ranking_names.csv,confirmed_main_text,high,
names_grade_r2,Section IV.C,R-squared of latent p_i on grades,35,percent,1,"Sec IV.C: ""R^2 of 35 percent""",dump/ranking_names.csv,confirmed_main_text,high,(0.006/0.010)^2
names_topgrade_n,Section IV.C,Names in top grade (2-grade soln),53,count,0,"Sec IV.C: ""35 of the 53 names""",dump/ranking_names.csv,confirmed_main_text,high,
names_topgrade_white,Section IV.C,White names in top grade,35,count,0,"Sec IV.C: ""35 of the 53""",dump/ranking_names.csv,confirmed_main_text,high,66%
names_2ndgrade_n,Section IV.C,Names in second grade,23,count,0,"Sec IV.C: ""3 of the 23 names""",dump/ranking_names.csv,confirmed_main_text,high,53+23=76
names_2ndgrade_white,Section IV.C,White names in second grade,3,count,0,"Sec IV.C: ""3 of the 23""",dump/ranking_names.csv,confirmed_main_text,high,13%
names_pseudor2_sex_4g,Section IV.C,Pseudo-R2 sex 4-grade,0.012,other,0.001,"Sec IV.C: ""pseudo-R^2 for sex of 0.012""",unknown,confirmed_main_text,high,McFadden
names_pseudor2_sex_5g,Section IV.C,Pseudo-R2 sex 5-grade,0.034,other,0.001,"Sec IV.C: ""pseudo-R^2 for sex of 0.034""",unknown,confirmed_main_text,high,
names_pseudor2_race_4g,Section IV.C,Pseudo-R2 race 4-grade,0.28,other,0.01,"Sec IV.C: ""0.28 and 0.23""",unknown,confirmed_main_text,high,
names_pseudor2_race_5g,Section IV.C,Pseudo-R2 race 5-grade,0.23,other,0.01,"Sec IV.C: ""0.28 and 0.23""",unknown,confirmed_main_text,high,
t2_white_contact,Table 2,Firm-avg White contact rate,0.256,proportion,0.001,Table 2 Race White,tables/table2.csv,confirmed_main_text,high,SE 0.004
t2_white_contact_se,Table 2,SE White contact rate,0.004,sd,0.001,Table 2 Race White,tables/table2.csv,confirmed_main_text,high,
t2_black_contact,Table 2,Firm-avg Black contact rate,0.236,proportion,0.001,Table 2 Race Black,tables/table2.csv,confirmed_main_text,high,SE 0.003
t2_black_contact_se,Table 2,SE Black contact rate,0.003,sd,0.001,Table 2 Race Black,tables/table2.csv,confirmed_main_text,high,
t2_race_diff,Table 2,Race contact-rate difference (W-B),0.020,proportion,0.001,Table 2 race Difference,tables/table2.csv,confirmed_main_text,high,SE 0.002
t2_race_diff_se,Table 2,SE race difference,0.002,sd,0.001,Table 2 race Difference,tables/table2.csv,confirmed_main_text,high,
t2_race_logdiff,Table 2,Race log contact-rate difference,0.095,log_diff,0.001,Table 2 race Log difference,tables/table2.csv,confirmed_main_text,high,SE 0.013; = mean theta
t2_race_logdiff_se,Table 2,SE race log difference,0.013,sd,0.001,Table 2 race Log difference,tables/table2.csv,confirmed_main_text,high,
t2_male_contact,Table 2,Firm-avg Male contact rate,0.244,proportion,0.001,Table 2 Gender Male,tables/table2.csv,confirmed_main_text,high,SE 0.004
t2_female_contact,Table 2,Firm-avg Female contact rate,0.248,proportion,0.001,Table 2 Gender Female,tables/table2.csv,confirmed_main_text,high,SE 0.004
t2_gender_diff,Table 2,Gender contact-rate difference (M-F),-0.003,proportion,0.001,Table 2 gender Difference,tables/table2.csv,confirmed_main_text,high,SE 0.003
t2_gender_logdiff,Table 2,Gender log contact-rate difference,-0.006,log_diff,0.001,Table 2 gender Log difference,tables/table2.csv,confirmed_main_text,high,SE 0.020
t2_gender_logdiff_se,Table 2,SE gender log difference,0.020,sd,0.001,Table 2 gender Log difference,tables/table2.csv,confirmed_main_text,high,
t2_n_firms,Table 2,Number of firms (estimation sample),97,count,0,Table 2 'Number of firms',tables/table2.csv,confirmed_main_text,high,
t2_n_jobs,Table 2,Number of jobs (estimation sample),10453,count,0,Table 2 'Number of jobs',tables/table2.csv,confirmed_main_text,high,
t2_n_apps,Table 2,Number of applications (estimation sample),78910,count,0,Table 2 'Number of apps',tables/table2.csv,confirmed_main_text,high,Differs from ~84k frame
t3_race_ni_beta,Table 3 col1,GMM beta race no-industry,0.510,other,0.001,Table 3 (1) beta,tables/table3.csv,confirmed_main_text,high,SE 0.190
t3_race_ni_beta_se,Table 3 col1,SE beta race no-industry,0.190,sd,0.001,Table 3 (1) beta,tables/table3.csv,confirmed_main_text,high,
t3_race_ni_mu,Table 3 col1,GMM mu race no-industry,0.308,other,0.001,Table 3 (1) mu,tables/table3.csv,confirmed_main_text,high,SE 0.147
t3_race_ni_sigmav,Table 3 col1,GMM sigma_v race no-industry,0.207,sd,0.001,Table 3 (1) sigma_v,tables/table3.csv,confirmed_main_text,high,SE 0.106
t3_race_ni_J,Table 3 col1,GMM J-stat race no-industry,0.101,other,0.001,Table 3 (1) J-stat,tables/table3.csv,confirmed_main_text,high,df=1; p=0.97
t3_race_wi_beta,Table 3 col2,GMM beta race with-industry,0.522,other,0.001,Table 3 (2) beta,tables/table3.csv,confirmed_main_text,high,SE 0.150
t3_race_wi_mu,Table 3 col2,GMM mu race with-industry,0.320,other,0.001,Table 3 (2) mu,tables/table3.csv,confirmed_main_text,high,SE 0.096
t3_race_wi_sigmaeta,Table 3 col2,GMM sigma_eta race with-industry,0.528,sd,0.001,Table 3 (2) sigma_eta,tables/table3.csv,confirmed_main_text,high,SE 0.120; between-industry
t3_race_wi_sigmaxi,Table 3 col2,GMM sigma_xi race with-industry,0.113,sd,0.001,Table 3 (2) sigma_xi,tables/table3.csv,confirmed_main_text,high,SE 0.054; within-industry
t3_race_wi_J,Table 3 col2,GMM J-stat race with-industry,0.087,other,0.001,Table 3 (2) J-stat,tables/table3.csv,confirmed_main_text,high,df=2; p=0.95
t3_gender_ni_beta,Table 3 col3,GMM beta gender no-industry,1.255,other,0.001,Table 3 (3) beta,tables/table3.csv,confirmed_main_text,high,SE 0.242
t3_gender_ni_mu,Table 3 col3,GMM mu gender no-industry,-0.009,other,0.001,Table 3 (3) mu,tables/table3.csv,confirmed_main_text,high,SE 0.015
t3_gender_ni_sigmav,Table 3 col3,GMM sigma_v gender no-industry,1.234,sd,0.001,Table 3 (3) sigma_v,tables/table3.csv,confirmed_main_text,high,SE 0.561
t3_gender_ni_J,Table 3 col3,GMM J-stat gender no-industry,0.011,other,0.001,Table 3 (3) J-stat,tables/table3.csv,confirmed_main_text,high,df=1
t3_gender_wi_beta,Table 3 col4,GMM beta gender with-industry,1.114,other,0.001,Table 3 (4) beta,tables/table3.csv,confirmed_main_text,high,SE 0.204
t3_gender_wi_mu,Table 3 col4,GMM mu gender with-industry,0.000,other,0.001,Table 3 (4) mu,tables/table3.csv,confirmed_main_text,high,SE 0.017
t3_gender_wi_sigmaeta,Table 3 col4,GMM sigma_eta gender with-industry,0.569,sd,0.001,Table 3 (4) sigma_eta,tables/table3.csv,confirmed_main_text,high,SE 0.191
t3_gender_wi_sigmaxi,Table 3 col4,GMM sigma_xi gender with-industry,0.645,sd,0.001,Table 3 (4) sigma_xi,tables/table3.csv,confirmed_main_text,high,SE 0.213
t3_gender_wi_J,Table 3 col4,GMM J-stat gender with-industry,1.280,other,0.001,Table 3 (4) J-stat,tables/table3.csv,confirmed_main_text,high,df=2
t3b_race_ni_mean,Table 3 Panel B,Implied mean theta race no-industry,0.092,log_diff,0.001,Table 3 Panel B (1),tables/table3.csv,confirmed_main_text,high,SE 0.011
t3b_race_ni_sd,Table 3 Panel B,Implied SD theta race no-industry,0.072,sd,0.001,Table 3 Panel B (1),tables/table3.csv,confirmed_main_text,high,SE 0.015
t3b_race_wi_mean,Table 3 Panel B,Implied mean theta race with-industry,0.093,log_diff,0.001,Table 3 Panel B (2),tables/table3.csv,confirmed_main_text,high,SE 0.013
t3b_race_wi_sd,Table 3 Panel B,Implied SD theta race with-industry,0.072,sd,0.001,Table 3 Panel B (2),tables/table3.csv,confirmed_main_text,high,SE 0.015
t3b_race_withinshare,Table 3 Panel B,Within-industry variance share (race),0.366,proportion,0.001,Table 3 Panel B (2) Within share,tables/table3.csv,confirmed_main_text,high,SE 0.234; one-third
t3b_gender_ni_mean,Table 3 Panel B,Implied mean theta gender no-industry,-0.009,log_diff,0.001,Table 3 Panel B (3),tables/table3.csv,confirmed_main_text,high,SE 0.015
t3b_gender_ni_sd,Table 3 Panel B,Implied SD theta gender no-industry,0.180,sd,0.001,Table 3 Panel B (3),tables/table3.csv,confirmed_main_text,high,SE 0.042
t3b_gender_wi_mean,Table 3 Panel B,Implied mean theta gender with-industry,0.000,log_diff,0.001,Table 3 Panel B (4),tables/table3.csv,confirmed_main_text,high,SE 0.017
t3b_gender_wi_sd,Table 3 Panel B,Implied SD theta gender with-industry,0.148,sd,0.001,Table 3 Panel B (4),tables/table3.csv,confirmed_main_text,high,SE 0.025; ~15pp
t3b_gender_withinshare,Table 3 Panel B,Within-industry variance share (gender),0.562,proportion,0.001,Table 3 Panel B (4) Within share,tables/table3.csv,confirmed_main_text,high,SE 0.200; ~half
